"original-question","alternative-question","sql"
"Who are all the employees in the Engineering department?","Can you fetch the roster for the Engineering department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Who is currently employed in the Engineering department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Provide me with the employees that are part of Engineering.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Can you give me a rundown of all Engineering department employees?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","What active personnel do we have in the Engineering team?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Who are the individuals working under the Engineering department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","List all personnel associated with Engineering.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Who are the members of the Engineering staff?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","I need to see all employees that work in Engineering.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Can you outline the employees in the Engineering department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"Who are all the employees in the Engineering department?","Show me all the active members of the Engineering section.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
"How many managers do we have in our company?","What is the total count of managers currently employed in our organization?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Can you tell me how many active managers we have in the company?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","I'd like to know the number of managers working in our firm.","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many people hold the position of manager in our company right now?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Could you provide the count of active managers in our workforce?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many employees are classified as managers within the organization?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Please let me know how many managers are currently active in our company.","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","What's the number of managers we have employed at the moment?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many individuals are working as managers in our company?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Can you find out the total number of active managers in our organization?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","What is the current number of managers among our staff?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many managers are there in our company at this time?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Could you check how many employees are designated as managers?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many of our staff members are in management roles?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Please tell me the count of managers that are active in the company.","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","What's the total number of active managerial positions filled in our organization?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many distinct managers are employed in the company right now?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","Can you tell me the number of current managers on our team?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","How many individuals currently serve as managers in our organization?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many managers do we have in our company?","What’s the count of distinct employees who are managers in our company?","SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"Which employees are located in New York?","Can you tell me which employees are based in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","I'd like to know the employees who work in New York.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Who are the active employees located in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","List the employees that are situated in New York.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","What employees are found in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Show me the employees that have New York as their location.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Which staff members are in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Find out which employees are residing in New York.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Who are the employees that currently work in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Please provide a list of employees in New York.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Identify the employees located in New York.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Who among the employees is located in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Can you provide the names of employees based in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","I need to know which employees are in New York.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","What is the list of employees that are in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
"Which employees are located in New York?","Can you give me details on employees who are in New York?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
