question,sql
Who has a birthday next week?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-06') AND (date(""t1"".""start_date"") <= '2025-03-12')) OR ((date(""t1"".""end_date"") >= '2025-03-06') AND (date(""t1"".""end_date"") <= '2025-03-12'))) OR ((date(""t1"".""start_date"") <= '2025-03-06') AND (date(""t1"".""end_date"") >= '2025-03-12')))) AND (LOWER(""t1"".""policy_type"") LIKE '%birthday%'))"
How many employees do we have per location?,"SELECT ""t1"".""location"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE ""t1"".""is_active"" GROUP BY ""t1"".""location"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
List all employees who work for the Apollo client.,"SELECT ""t1"".""full_name"", ""t1"".""department"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""client"") IN ('apollo')))"
Who is currently out of the office?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-02-27')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-02-27'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-02-27')))) AND (LOWER(""t1"".""policy_type"") LIKE '%all types%')) AND (""t1"".""status"" = 'approved'))"
Which employees are on vacation this week?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
Who has scheduled time off for next month?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
List all employees who are on sick leave today.,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-02-27')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-02-27'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-02-27')))) AND (LOWER(""t1"".""policy_type"") LIKE '%sick%'))"
Which employees have pending time off requests?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
Who is taking annual leave during the Christmas holidays?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
List all employees who took birthday leave last month.,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""end_date"") < date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-01-01') AND (date(""t1"".""start_date"") <= '2025-01-31')) OR ((date(""t1"".""end_date"") >= '2025-01-01') AND (date(""t1"".""end_date"") <= '2025-01-31'))) OR ((date(""t1"".""start_date"") <= '2025-01-01') AND (date(""t1"".""end_date"") >= '2025-01-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%birthday%'))"
How many people are out of office today across all departments?,"SELECT ""t1"".""policy_type"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-02-27')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-02-27'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-02-27')))) AND (LOWER(""t1"".""policy_type"") LIKE '%out of office%')) AND (""t1"".""status"" = 'approved')) GROUP BY ""t1"".""policy_type"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
Which employees from the Design team are currently on leave?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-02-27')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-02-27'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-02-27')))) AND (LOWER(""t1"".""policy_type"") LIKE '%leave%')) AND (""t1"".""status"" = 'approved')) AND (LOWER(""t2"".""department"") LIKE '%design%'))"
